lizard,rep,uniID,status,relocation,year,ground,mesohabitat,Aspect.x,Slope.x,Elev.x,KDF.x,Shrub_Cov.x,NDVI.x,Solar.x,FID,x_utm,y_utm,long,lat,gender,mass,SVL_mm,tail,tail_mm,ID_heather,geometry,
381,5136,48355,0,NA,2017,below,shrub,254.0549927,5.1996698,737,1.13E-05,0.0339077,0.203829,380703,7923,261221.5015,3889561.45,-119.620256,35.120621,f,32.5,96,tail whole,NA,NA,c(808014.83128962, 3891649.51737366)
56,51361,48355,0,NA,2018,below,open,254.0549927,5.1996698,737,1.13E-05,0.0339077,0.203829,380703,7923,261221.5015,3889561.45,-119.620256,35.120621,m,33.73,100,intact,210,9,c(808014.83128962, 3891649.51737366)
n,299,35738,1,472,2016,above,open,246.8009949,2.7251401,723,0.0044459,0.0447042,0.216332,381220,8013,261201.5015,3888801.45,-119.620256,35.11377,f,29,97,NA,NA,NA,c(808040.6576655, 3890889.30246174)
99,339,36070,0,463,2018,above,open,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,22.79,92,intact,178,3,c(808039.519507255, 3890909.37146638)
j,356,36070,1,1080,2016,above,open,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,23,92,NA,NA,NA,c(808039.519507255, 3890909.37146638)
j,3531,36070,1,489,2016,below,open,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,23,92,NA,NA,NA,c(808039.519507255, 3890909.37146638)
j,3391,36070,1,463,2016,above,open,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,23,92,NA,NA,NA,c(808039.519507255, 3890909.37146638)
n,3541,36070,1,1078,2016,above,open,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,29,97,NA,NA,NA,c(808039.519507255, 3890909.37146638)
n,3501,36070,1,486,2016,below,open,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,29,97,NA,NA,NA,c(808039.519507255, 3890909.37146638)
n,355,36070,1,1079,2016,above,open,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,29,97,NA,NA,NA,c(808039.519507255, 3890909.37146638)
n,352,36070,1,488,2016,below,open,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,29,97,NA,NA,NA,c(808039.519507255, 3890909.37146638)
n,346,36070,1,482,2016,below,open,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,29,97,NA,NA,NA,c(808039.519507255, 3890909.37146638)
n,3422,36070,1,473,2016,below,open,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,29,97,NA,NA,NA,c(808039.519507255, 3890909.37146638)
n,349,36070,1,485,2016,below,open,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,29,97,NA,NA,NA,c(808039.519507255, 3890909.37146638)
n,343,36070,1,479,2016,below,open,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,29,97,NA,NA,NA,c(808039.519507255, 3890909.37146638)
n,3411,36070,1,465,2016,above,shrub,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,29,97,NA,NA,NA,c(808039.519507255, 3890909.37146638)
n,348,36070,1,484,2016,below,open,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,29,97,NA,NA,NA,c(808039.519507255, 3890909.37146638)
n,351,36070,1,487,2016,below,open,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,29,97,NA,NA,NA,c(808039.519507255, 3890909.37146638)
n,340,36070,1,464,2016,above,shrub,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,29,97,NA,NA,NA,c(808039.519507255, 3890909.37146638)
n,345,36070,1,481,2016,below,open,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,29,97,NA,NA,NA,c(808039.519507255, 3890909.37146638)
n,347,36070,1,483,2016,below,shrub,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,29,97,NA,NA,NA,c(808039.519507255, 3890909.37146638)
n,3441,36070,1,480,2016,below,open,270,2.8624101,723,0.0045009,0.0522686,0.225607,380536,2007,261201.5015,3888821.45,-119.620261,35.113951,f,29,97,NA,NA,NA,c(808039.519507255, 3890909.37146638)
44,8697,61636,0,NA,2018,below,shrub,212.470993,9.2566795,765,0,0.0125251,0.185992,382545,4499,261241.5015,3890361.45,-119.620267,35.127832,m,32.7,98,kinked,176,6,c(807986.64025155, 3892449.64588455)
30,406,36402,0,474,2018,above,open,276.3399963,3.23927,723,0.0040454,0.0281851,0.239289,380201,3002,261201.5015,3888841.45,-119.620267,35.114131,m,33.79,103,intact,212,7,c(808038.293938583, 3890929.32640999)
n,4061,36402,1,474,2016,above,open,276.3399963,3.23927,723,0.0040454,0.0281851,0.239289,380201,3002,261201.5015,3888841.45,-119.620267,35.114131,f,29,97,NA,NA,NA,c(808038.293938583, 3890929.32640999)
130,1752,37730,0,NA,2018,above,shrub,246.8009949,2.7251401,723,0.0007687,0.0022319,0.254878,381183,1071,261201.5015,3888921.45,-119.62029,35.114851,m,24.83,101,intact,210,30,c(808033.482835633, 3891009.14928514)
t,814,38726,1,469,2016,below,shrub,270,1.4321001,722,0.0025516,0.0250865,0.265723,380630,3273,261201.5015,3888981.45,-119.620307,35.115392,m,36,104,NA,NA,NA,c(808029.89352564, 3891069.12818343)
64,909,39058,1,2488,2018,above,shrub,239.0359955,2.0871301,723,0.0038073,0.0171942,0.265771,381335,7468,261201.5015,3889001.45,-119.620313,35.115572,m,32.48,104,intact,190,8,c(808028.66795155, 3891089.08312974)
980,1020,39390,1,1598,2017,above,open,251.5650024,3.39325,723,0.0049649,0.0070569,0.260953,380951,5131,261201.5015,3889021.45,-119.620319,35.115752,m,37,100,"tail tipped, mites",NA,NA,c(808027.442376834, 3891109.03807639)
t,1019,39390,1,478,2016,above,shrub,251.5650024,3.39325,723,0.0049649,0.0070569,0.260953,380951,5131,261201.5015,3889021.45,-119.620319,35.115752,m,36,104,NA,NA,NA,c(808027.442376834, 3891109.03807639)
