,rep,uniID,status,year,x_utm,y_utm,long,lat,geometry,lizard.y,twenty_meter,ground_truth
83,298,32387,0,2016,260581.5015,3888601.45,-119.626994,35.111822,c(807433.620841201, 3890652.29618631),2,3
2754,29910,32388,0,2018,260601.5015,3888601.45,-119.626775,35.111826,c(807453.574470278, 3890653.41700269),4,5
84,302,32391,0,2016,260661.5015,3888601.45,-119.626117,35.111841,c(807513.515248097, 3890657.1157001),0,0
85,304,32393,0,2018,260701.5015,3888601.45,-119.625679,35.11185,c(807553.418737727, 3890659.46869469),3,3
94,341,32690,0,2016,260001.5015,3888621.45,-119.633358,35.111864,c(806853.186835532, 3890637.30385357),0,0
95,342,32691,0,2018,260021.5015,3888621.45,-119.633139,35.111869,c(806873.1366836, 3890638.53435115),2,2
96,344,32694,0,2017,260081.5015,3888621.45,-119.632481,35.111883,c(806933.081158711, 3890642.1182315),13,16
97,350,32700,0,2016,260201.5015,3888621.45,-119.631166,35.111911,c(807052.878907418, 3890649.2841016),7,7
98,353,32703,0,2018,260261.5015,3888621.45,-119.630508,35.111926,c(807112.819604193, 3890652.98014159),4,5
99,354,32704,0,2018,260281.5015,3888621.45,-119.630289,35.111931,c(807132.769440954, 3890654.21121423),5,6
100,361,32711,0,2018,260421.5015,3888621.45,-119.628754,35.111964,c(807272.608153702, 3890662.61421155),10,10
102,369,32719,0,2017,260581.5015,3888621.45,-119.627,35.112002,c(807432.39665189, 3890672.25111593),0,0
